Time,Latitude,Longitude,Temperature,Humidity,Pressure,Altitude,VOC,PM1,PM25,PM10,counts
1746493384.17,37.871109911457665,-122.26038809384823,28.67404296875,23.193129964149254,999.5740053322272,114.48929902089034,311397.0,4.0,6.0,7.0,40.0
1746493386.16,37.87110991145728,-122.26038809384815,28.7352734375,23.002336273552647,999.559205743245,114.61387966985905,317685.5,4.0,6.0,7.0,40.0
1746493388.17,37.87110991145688,-122.26038809384805,28.783125,22.864186675409293,999.5590246783399,114.61540391071782,329465.5,4.0,6.0,7.0,44.0
1746493390.17,37.871109911456486,-122.26038809384795,28.81955078125,22.757362398461428,999.5385299127506,114.78792824735504,341482.5,4.0,6.0,7.0,44.0
1746493392.17,37.8711099075072,-122.26038809295973,28.84181640625,22.702921992701256,999.5279354781023,114.87711294264459,355137.5,4.0,6.0,7.0,42.5
1746493394.17,37.8711099035444,-122.26038809206847,28.85822265625,22.688061817225886,999.5182119151877,114.95896724983575,377808.0,4.0,6.0,7.0,47.0
1746493396.15,37.871109767488015,-122.26038806146927,28.87189453125,22.643710867242845,999.5170388558811,114.96884233382221,398058.5,4.0,6.0,7.0,47.0
1746493398.14,37.871109767488015,-122.26038806146927,28.87833984375,22.56426508968766,999.5153839709558,114.98277341826785,412610.0,4.0,6.0,7.0,47.5
1746493400.25,37.871109767488015,-122.26038806146927,28.88419921875,22.4795032168567,999.5249063988899,114.9026120597179,428551.5,4.0,5.0,6.0,40.5
1746493402.11,37.871109767488015,-122.26038806146927,28.88419921875,22.4795032168567,999.5249063988899,114.9026120597179,428551.5,4.0,5.0,6.0,36.0
1746493404.21,37.871109767488015,-122.26038806146927,28.88791015625,22.410604189966087,999.5318036904062,114.84454989265751,441157.0,4.0,5.0,6.0,36.0
1746493406.15,37.87115212068353,-122.26039730628347,28.88595703125,22.349327799470963,999.5442250495807,114.73998640663221,452942.0,4.0,5.0,6.0,43.0
1746493408.17,37.871165371055,-122.26038837273104,28.89650390625,22.307523823457963,999.5691636473955,114.53005543042437,464737.0,4.0,5.0,6.0,42.5
1746493410.16,37.871165360800546,-122.26038854975252,28.90001953125,22.1829473010686,999.5800756090023,114.43820089246506,475125.0,4.0,5.0,6.0,45.5
1746493412.17,37.87116516301237,-122.2603919638641,28.903339843749997,22.19378648472345,999.5828727413596,114.41465516189648,485721.0,3.0,5.0,6.0,40.5
1746493414.12,37.87116516301237,-122.2603919638641,28.95265625,22.175878166995574,999.5919694802717,114.3380814922186,494625.0,3.0,5.0,6.0,40.5
1746493416.17,37.87116516301237,-122.2603919638641,29.02716796875,22.167627022664483,999.604736504539,114.23061348921655,501107.0,3.5,5.0,6.0,42.5
1746493418.15,37.87116516301237,-122.2603919638641,29.11212890625,22.144153640763616,999.6448623845122,113.89285576341891,504695.5,3.5,5.0,6.0,39.0
1746493420.19,37.87118355122044,-122.2604080275139,29.11212890625,22.144153640763616,999.6448623845122,113.89285576341891,504695.5,4.0,5.0,6.0,45.5
1746493424.11,37.87120863018164,-122.26043480653364,29.2063671875,22.137228265715407,999.6731656666902,113.65462110511857,510360.5,4.0,5.0,6.0,32.5
1746493426.16,37.87133099817162,-122.2606263051759,29.3270703125,22.044485416704408,999.7114901178716,113.33204478647781,511852.5,4.0,5.0,6.0,32.5
1746493428.14,37.87133347421897,-122.26062540047458,29.48009765625,21.956583573928548,999.7606402217963,112.91836332807297,515594.0,4.0,5.0,6.0,54.5
1746493430.19,37.87132918860859,-122.26047895691785,29.659296875000003,21.830660377999045,999.8027760238699,112.56373242144474,521130.0,3.0,4.0,5.5,32.0
1746493432.14,37.87135899161815,-122.26052305870822,29.80197265625,21.665260421958376,999.8280002769234,112.3514409174046,529556.0,3.0,4.0,5.5,40.5
1746493434.19,37.87135952502168,-122.26052395743058,29.89455078125,21.554891311404205,999.8420956060929,112.2328143456857,538460.5,2.0,3.0,5.0,40.0
1746493436.13,37.871366517741556,-122.2605564312045,30.0110546875,21.38272135382291,999.8307716248778,112.32811710681005,544279.5,2.0,3.0,5.0,40.0
1746493438.17,37.87136776580804,-122.26055915342994,30.13302734375,21.409215907082118,999.8499653494343,112.16658315396035,548305.5,3.0,4.0,5.0,42.0
1746493440.14,37.871367973796644,-122.26055960708514,30.19083984375,21.344252878255254,999.8752246752382,111.95400478813954,555659.5,3.0,4.0,5.0,46.5
1746493442.17,37.87145052018584,-122.26070843821657,30.224921875,21.283037543437036,999.8880027436571,111.84646845363736,558744.0,2.5,4.0,5.0,42.0
1746493444.15,37.87149585947789,-122.26078446386316,30.255390625,21.25860354922453,999.8966490223584,111.77370451498729,562314.5,2.5,4.0,5.0,40.5
1746493446.15,37.871510645774144,-122.2608095749647,30.26525390625,21.26717990268898,999.9031068114148,111.71935853419654,565475.0,2.0,4.0,5.0,40.5
1746493448.14,37.871510645774144,-122.2608095749647,30.2676953125,21.304351585934228,999.9174886593594,111.59832800912199,569129.0,2.0,4.0,5.0,51.0
1746493450.21,37.87152760210898,-122.26083515462078,30.261640625,21.35155479141358,999.9319729786332,111.47643656538631,574701.5,2.0,3.0,4.0,41.0
1746493452.16,37.87152856749768,-122.26083659037039,30.24240234375,21.38732165278256,999.9502369736554,111.3227396135603,578005.0,2.0,3.0,4.0,44.5
1746493454.17,37.87152964102894,-122.26083818695223,30.2133984375,21.366894974728783,999.9578558007993,111.25862563223504,583509.0,2.0,3.0,4.0,38.5
1746493456.16,37.87153544400539,-122.26089751454806,30.20158203125,21.33967258511622,999.9603797277555,111.23738640406378,588632.5,2.0,3.0,4.0,38.5
