time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741390990.021751,0.0,1.0,1.0,0.0,1.0,1.0,312.0,90.0,4.0,1.0,0.0,0.0,33.3919140625,100.0,766.5663078336963,2292.2296779401804,20138.0
1741390991.0328722,0.0,1.0,1.0,0.0,1.0,1.0,312.0,90.0,4.0,1.0,0.0,0.0,24.3594921875,31.556823062566856,1009.2186087120874,33.618282715646245,2422.0
1741390992.0457947,0.0,1.0,1.0,0.0,1.0,1.0,330.0,92.0,4.0,1.0,0.0,0.0,24.3962109375,31.49142621004642,1009.2194407629432,33.61133292826179,3639.0
1741390993.058861,0.0,1.0,1.0,0.0,1.0,1.0,330.0,92.0,4.0,1.0,0.0,0.0,24.4380078125,31.40935124806996,1009.2264204834985,33.55303430204971,4692.0
1741390994.0719175,0.0,1.0,1.0,0.0,1.0,1.0,330.0,92.0,4.0,1.0,0.0,0.0,24.476484375,31.29846326957302,1009.2281686566025,33.53843260951596,6017.0
1741390995.084926,0.0,1.0,1.0,0.0,1.0,1.0,342.0,94.0,6.0,2.0,0.0,0.0,24.5091015625,31.2042570500251,1009.2262036382081,33.55484551327975,7422.0
1741390996.0979643,1.0,2.0,2.0,1.0,2.0,2.0,342.0,94.0,6.0,2.0,0.0,0.0,24.536640625,31.121068683901523,1009.2235943510561,33.57663974055663,8900.0
1741390997.111015,1.0,2.0,2.0,1.0,2.0,2.0,342.0,94.0,6.0,2.0,0.0,0.0,24.5591015625,31.054584675133565,1009.2258557755902,33.557751053999944,10448.0
1741390998.124038,1.0,2.0,2.0,1.0,2.0,2.0,348.0,98.0,5.0,2.0,0.0,0.0,24.576875,30.96492239445421,1009.228091212479,33.539079464521386,12596.0
1741390999.1371665,0.0,1.0,1.0,0.0,1.0,1.0,348.0,98.0,5.0,2.0,0.0,0.0,24.5903515625,30.892025567753556,1009.2254029161678,33.561533587242636,14250.0
1741391000.150309,0.0,1.0,1.0,0.0,1.0,1.0,348.0,98.0,5.0,2.0,0.0,0.0,24.6008984375,30.830295934069373,1009.2199423572683,33.60714331410438,15896.0
1741391001.163386,0.0,1.0,1.0,0.0,1.0,1.0,372.0,104.0,7.0,2.0,0.0,0.0,24.608125,30.762612741258963,1009.2184467285041,33.619635700146006,17611.0
1741391002.1763632,0.0,1.0,1.0,0.0,1.0,1.0,372.0,104.0,7.0,2.0,0.0,0.0,24.61203125,30.694673634948444,1009.2154029380998,33.645059304523876,19292.0
1741391003.1894808,0.0,1.0,1.0,0.0,1.0,1.0,372.0,104.0,7.0,2.0,0.0,0.0,24.61515625,30.638070501022224,1009.2203192921912,33.60399493053134,20883.0
1741391004.202597,0.0,1.0,1.0,0.0,1.0,1.0,360.0,98.0,7.0,1.0,0.0,0.0,24.616328125,30.575637564558924,1009.2258386643998,33.55789397613764,22596.0
1741391005.21471,0.0,1.0,1.0,0.0,1.0,1.0,360.0,98.0,7.0,1.0,0.0,0.0,24.616328125,30.530175652371476,1009.218487188097,33.61929775722969,25290.0
1741391006.227819,0.0,1.0,1.0,0.0,1.0,1.0,360.0,98.0,7.0,1.0,0.0,0.0,24.6153515625,30.4732849751625,1009.2132751002034,33.66283234862903,27143.0
1741391007.2408805,0.0,1.0,1.0,0.0,1.0,1.0,360.0,98.0,7.0,1.0,0.0,0.0,24.6141796875,30.422077906079334,1009.2187829310766,33.61682753385787,28790.0
1741391008.254026,0.0,1.0,1.0,0.0,1.0,1.0,360.0,98.0,7.0,1.0,0.0,0.0,24.6122265625,30.37649826309647,1009.2101966390843,33.68854565113118,30481.0
1741391009.2671354,0.0,1.0,1.0,0.0,1.0,1.0,360.0,98.0,7.0,1.0,0.0,0.0,24.6091015625,30.336507429085948,1009.2052803163169,33.7296100969941,32171.0
1741391010.280344,0.0,1.0,1.0,0.0,1.0,1.0,348.0,96.0,8.0,1.0,0.0,0.0,24.606171875,30.302217469687815,1009.2172118242511,33.62995037041659,33669.0
1741391011.293406,0.0,1.0,1.0,0.0,1.0,1.0,348.0,96.0,8.0,1.0,0.0,0.0,24.6028515625,30.245219802306238,1009.2175016446424,33.62752961358435,35427.0
1741391012.3064911,0.0,1.0,1.0,0.0,1.0,1.0,348.0,96.0,8.0,1.0,0.0,0.0,24.5989453125,30.210869678202585,1009.2223830381965,33.58675731930214,37064.0
1741391013.3195086,0.0,0.0,0.0,0.0,0.0,0.0,342.0,86.0,9.0,1.0,0.0,0.0,24.595234375,30.159543512532064,1009.2202203505122,33.60482134990307,38622.0
1741391014.332715,0.0,0.0,0.0,0.0,0.0,0.0,342.0,86.0,9.0,1.0,0.0,0.0,24.591328125,30.10822005510757,1009.2140747494069,33.65615317059524,40170.0
1741391015.3458376,0.0,0.0,0.0,0.0,0.0,0.0,342.0,86.0,9.0,1.0,0.0,0.0,24.5872265625,30.08521531024245,1009.213135233093,33.664000608007306,41649.0
1741391016.3588572,0.0,1.0,1.0,0.0,1.0,1.0,360.0,92.0,9.0,1.0,0.0,0.0,24.5829296875,30.045210757416193,1009.2174016922696,33.62836447675575,43327.0
1741391017.3718112,0.0,1.0,1.0,0.0,1.0,1.0,360.0,92.0,9.0,1.0,0.0,0.0,24.5774609375,30.0107795888391,1009.2143110134456,33.65417974410829,44824.0
1741391018.3847036,0.0,1.0,1.0,0.0,1.0,1.0,360.0,92.0,9.0,1.0,0.0,0.0,24.5723828125,29.976390498554675,1009.2136725703506,33.659512424975524,48084.0
1741391019.397828,1.0,2.0,2.0,1.0,2.0,2.0,384.0,102.0,10.0,1.0,0.0,0.0,24.566328125,29.96456100108994,1009.2151730291554,33.64697964756877,49600.0
1741391020.4108984,1.0,2.0,2.0,1.0,2.0,2.0,384.0,102.0,10.0,1.0,0.0,0.0,24.56203125,29.935907617494536,1009.2139257907234,33.657397367803306,51184.0
1741391021.4245098,1.0,2.0,2.0,1.0,2.0,2.0,384.0,102.0,10.0,1.0,0.0,0.0,24.556953125,29.91285104391039,1009.2059362151256,33.724131578102366,52715.0
1741391022.437585,1.0,1.0,2.0,1.0,1.0,2.0,378.0,106.0,13.0,2.0,1.0,1.0,24.551875,29.878487981450988,1009.2071350763875,33.71411787004503,54107.0
1741391023.4506905,1.0,1.0,2.0,1.0,1.0,2.0,378.0,106.0,13.0,2.0,1.0,1.0,24.5458203125,29.86666823080595,1009.2067973236137,33.71693901091593,55679.0
1741391024.4637618,1.0,1.0,2.0,1.0,1.0,2.0,378.0,106.0,13.0,2.0,1.0,1.0,24.540546875,29.832301108824613,1009.2076886057165,33.7094944182928,57086.0
1741391025.47569,0.0,1.0,2.0,0.0,1.0,2.0,348.0,100.0,13.0,2.0,1.0,1.0,24.536640625,29.809361869294555,1009.2125684958702,33.66873436037516,58488.0
1741391026.488664,1.0,2.0,3.0,1.0,2.0,3.0,348.0,100.0,13.0,2.0,1.0,1.0,24.5315625,29.797631104860457,1009.2100915494219,33.68942342922276,59798.0
1741391027.5021172,1.0,2.0,3.0,1.0,2.0,3.0,348.0,100.0,13.0,2.0,1.0,1.0,24.526875,29.802888838125163,1009.2137419775823,33.65893269170929,61167.0
1741391028.5151327,1.0,1.0,3.0,1.0,1.0,3.0,366.0,100.0,13.0,2.0,1.0,1.0,24.52140625,29.77982391881372,1009.2069750254393,33.715454724318576,62247.0
1741391029.5282228,0.0,0.0,2.0,0.0,0.0,2.0,366.0,100.0,13.0,2.0,1.0,1.0,24.5173046875,29.762528012293053,1009.2152223061622,33.646568055212924,63779.0
1741391030.5414155,0.0,0.0,2.0,0.0,0.0,2.0,366.0,100.0,13.0,2.0,1.0,1.0,24.5145703125,29.75099873316804,1009.2145951281676,33.65180663897859,65098.0
1741391031.554583,0.0,0.0,1.0,0.0,0.0,1.0,342.0,94.0,10.0,2.0,1.0,1.0,24.50890625,29.74487392331788,1009.2111958114372,33.680199909086525,66373.0
1741391032.5676672,0.0,0.0,1.0,0.0,0.0,1.0,342.0,94.0,10.0,2.0,1.0,1.0,24.5048046875,29.755828749917256,1009.2120924690237,33.67271044322622,67647.0
1741391033.5805666,0.0,0.0,1.0,0.0,0.0,1.0,342.0,94.0,10.0,2.0,1.0,1.0,24.499921875,29.744120060058393,1009.2080847007211,33.70618596587918,68971.0
1741391034.5936813,0.0,0.0,1.0,0.0,0.0,1.0,360.0,100.0,10.0,2.0,1.0,1.0,24.495625,29.732461704298085,1009.210511409327,33.68591648313952,70067.0
1741391035.6067126,0.0,0.0,1.0,0.0,0.0,1.0,360.0,100.0,10.0,2.0,1.0,1.0,24.49015625,29.737651763612917,1009.2055815554841,33.727093939500676,71604.0
1741391036.6179132,0.0,0.0,1.0,0.0,0.0,1.0,360.0,100.0,10.0,2.0,1.0,1.0,24.4844921875,29.737176661174093,1009.2003443330192,33.770838923818104,72667.0
