time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16
1740179251.0099387,0.0,0.0,0.0,0.0,0.0,0.0,348.0,90.0,10.0,0.0,0.0,0.0,24.0731640625,33.74963645014386,1009.7642840506564,29.061471126102486
1740179252.0229218,0.0,0.0,0.0,0.0,0.0,0.0,348.0,90.0,10.0,0.0,0.0,0.0,24.068671875,33.64789313027403,1009.73430710235,29.311750090133064
1740179253.0358691,0.0,0.0,0.0,0.0,0.0,0.0,360.0,92.0,10.0,0.0,0.0,0.0,24.06359375,33.529297741323674,1009.7033522592917,29.570199857819034
1740179254.0493338,0.0,0.0,0.0,0.0,0.0,0.0,360.0,92.0,10.0,0.0,0.0,0.0,24.0567578125,33.416255662355205,1009.6763788815381,29.795412601529893
1740179255.0623815,0.0,0.0,0.0,0.0,0.0,0.0,360.0,92.0,10.0,0.0,0.0,0.0,24.04953125,33.325724493212654,1009.648753745879,30.026072211888764
1740179256.0753028,0.0,0.0,0.0,0.0,0.0,0.0,330.0,86.0,11.0,0.0,0.0,0.0,24.038203125,33.24609794202452,1009.6384860141808,30.111805256155066
1740179257.0882952,0.0,0.0,0.0,0.0,0.0,0.0,330.0,86.0,11.0,0.0,0.0,0.0,24.0278515625,33.172215565216675,1009.629848444215,30.183927396054166
1740179258.1014333,0.0,0.0,0.0,0.0,0.0,0.0,330.0,86.0,11.0,0.0,0.0,0.0,24.0196484375,33.092963314071454,1009.604051497847,30.399330185559048
1740179259.1144521,0.0,1.0,1.0,0.0,1.0,1.0,324.0,84.0,12.0,1.0,0.0,0.0,24.0087109375,33.00230183867951,1009.5754188305493,30.6384162748578
1740179260.1274486,0.0,1.0,1.0,0.0,1.0,1.0,324.0,84.0,12.0,1.0,0.0,0.0,23.9962109375,32.92275519317264,1009.5528219860855,30.827106420501487
1740179261.138988,0.0,1.0,1.0,0.0,1.0,1.0,324.0,84.0,12.0,1.0,0.0,0.0,23.9848828125,32.84895741965223,1009.5269954847602,31.042769317001756
1740179262.1500914,0.0,1.0,1.0,0.0,1.0,1.0,348.0,88.0,12.0,1.0,0.0,0.0,23.9716015625,32.814180031097386,1009.4875366060503,31.372277320070804
1740179263.1611817,1.0,2.0,2.0,1.0,2.0,2.0,348.0,88.0,12.0,1.0,0.0,0.0,23.9596875,32.790723281303485,1009.4572755744354,31.624984219798552
1740179264.1722052,1.0,2.0,2.0,1.0,2.0,2.0,348.0,88.0,12.0,1.0,0.0,0.0,23.9477734375,32.750494345606725,1009.4287436857445,31.863256835216653
1740179265.1832957,1.0,1.0,1.0,1.0,1.0,1.0,312.0,78.0,7.0,1.0,0.0,0.0,23.933125,32.71003088679248,1009.3939191425702,32.154087418621565
1740179266.1961517,0.0,0.0,0.0,0.0,0.0,0.0,312.0,78.0,7.0,1.0,0.0,0.0,23.9141796875,32.669192629458394,1009.3674794307153,32.37489909540605
1740179267.2092884,0.0,0.0,0.0,0.0,0.0,0.0,312.0,78.0,7.0,1.0,0.0,0.0,23.894453125,32.59478096689913,1009.3518349342908,32.50555656314476
1740179268.222306,0.0,0.0,0.0,0.0,0.0,0.0,312.0,82.0,8.0,2.0,0.0,0.0,23.8716015625,32.53129664370526,1009.337886720871,32.62204863979542
1740179269.234642,0.0,0.0,0.0,0.0,0.0,0.0,312.0,82.0,8.0,2.0,0.0,0.0,23.8454296875,32.45638690127199,1009.3356779113798,32.64049619751212
1740179270.2476737,0.0,0.0,0.0,0.0,0.0,0.0,312.0,82.0,8.0,2.0,0.0,0.0,23.8231640625,32.38187258784359,1009.3313459411551,32.676676085691405
1740179271.2609892,0.0,0.0,0.0,0.0,0.0,0.0,306.0,88.0,8.0,2.0,0.0,0.0,23.805,32.313342796784774,1009.3234899377139,32.742288428528
1740179272.2741232,0.0,0.0,0.0,0.0,0.0,0.0,306.0,88.0,8.0,2.0,0.0,0.0,23.787421875,32.23933092390774,1009.318339293117,32.785306182373674
1740179273.2872026,0.0,0.0,0.0,0.0,0.0,0.0,306.0,88.0,8.0,2.0,0.0,0.0,23.7716015625,32.17108590451026,1009.3143940326867,32.81825678846859
1740179274.3006847,0.0,0.0,0.0,0.0,0.0,0.0,288.0,80.0,6.0,2.0,0.0,0.0,23.7563671875,32.119626014018756,1009.311426071913,32.84304510834504
1740179275.3138182,0.0,0.0,0.0,0.0,0.0,0.0,288.0,80.0,6.0,2.0,0.0,0.0,23.743671875,32.07397672733642,1009.3092400984384,32.86130233136294
1740179276.3272781,0.0,0.0,0.0,0.0,0.0,0.0,288.0,80.0,6.0,2.0,0.0,0.0,23.73078125,32.06726786317917,1009.304999363687,32.89672098607466
1740179277.3407452,0.0,0.0,0.0,0.0,0.0,0.0,276.0,76.0,6.0,2.0,0.0,0.0,23.714765625,32.04359310590159,1009.3059086835626,32.88912632816017
1740179278.3537228,0.0,0.0,0.0,0.0,0.0,0.0,276.0,76.0,6.0,2.0,0.0,0.0,23.701875,32.031324601428445,1009.3016665389238,32.92455685297452
1740179279.366777,0.0,0.0,0.0,0.0,0.0,0.0,276.0,76.0,6.0,2.0,0.0,0.0,23.6925,32.33115379595352,1009.3257567899788,32.72335592391442
1740179280.379217,0.0,0.0,0.0,0.0,0.0,0.0,270.0,70.0,6.0,2.0,0.0,0.0,23.6878125,32.35860500109405,1009.3663123846245,32.384645807432264
1740179281.3920553,0.0,0.0,0.0,0.0,0.0,0.0,270.0,70.0,6.0,2.0,0.0,0.0,23.6909375,32.219586069172664,1009.392265573768,32.16789708765748
1740179282.404996,0.0,0.0,0.0,0.0,0.0,0.0,270.0,70.0,6.0,2.0,0.0,0.0,23.700703125,32.10354635965095,1009.4137557577159,31.98842468454375
1740179283.416886,0.0,0.0,0.0,0.0,0.0,0.0,282.0,76.0,7.0,2.0,0.0,0.0,23.72296875,31.91643226932071,1009.411189832102,32.009853507207254
1740179284.4305365,0.0,0.0,0.0,0.0,0.0,0.0,282.0,76.0,7.0,2.0,0.0,0.0,23.748359375,31.72427046837041,1009.4051987896612,32.05988669053129
1740179285.443099,0.0,0.0,0.0,0.0,0.0,0.0,282.0,76.0,7.0,2.0,0.0,0.0,23.7628125,31.570199741478277,1009.39303998686,32.161429626339064
1740179286.4557397,0.0,0.0,0.0,0.0,0.0,0.0,306.0,82.0,7.0,2.0,0.0,0.0,23.7688671875,31.443250933134294,1009.3875956961881,32.2068973562093
